order_id,customer_id,order_date,order_status,payment_method
55859,929,05-07-2026,Delivered,Net Banking
57239,738,06/06/2024,Pending,Net Banking
52924,268,02/07/2024,Delivered,COD
52096,18,2026-03-30,PENDING,COD
55939,300,08/09/2024,Delivered,Credit Card
53962,355,2025-03-07,Cancelled,Credit Card
55445,424,2025-06-28,Delivered,Credit Card
55703,126,2024-04-02,Delivered,UPI
55631,22,15/08/2025,Delivered,UPI
52424,104,29/12/2025,Delivered,CREDIT CARD
55328,544,2025-05-05,Delivered,cod
52289,425,2026-08-18,Cancelled,Net Banking
57227,246,07/11/2024,Pending,UPI
50052,391,2024-09-24,DELIVERED,Credit Card
54691,235,11/05/2026,Delivered,Credit Card
57145,585,14/01/2024,Delivered,Credit Card
52747,140,2025-11-17,Returned,UPI
55010,400,14/11/2025,Pending,Credit Card
51072,67,23-08-2026,Delivered,Credit Card
53302,846,2024-02-13,Delivered,COD
57153,824,15/04/2024,Delivered,Net Banking
55758,750,2025-11-07,Delivered,upi
52654,25,2025-09-25,Delivered,Credit Card
52993,147,2024-03-17,Pending,UPI
50044,89,27/12/2025,Pending,UPI
54186,199,17-05-2025,Delivered,UPI
51296,378,18/06/2025,Delivered,Credit Card
50954,956,07/04/2025,DELIVERED,Credit Card
55426,400,2025-01-16,Delivered,COD
50177,296,18-04-2025,Delivered,UPI
50490,1034,07-06-2026,cancelled,Debit Card
50533,874,2024-10-26,,Debit Card
52616,44,2024-05-18,Delivered,COD
50105,985,18/08/2024,Delivered,Credit Card
53310,237,2024-03-19,,UPI
57017,1073,14/06/2024,Pending,Credit Card
52760,44,21-09-2024,Delivered,COD
55507,421,2026-06-21,Delivered,Debit Card
51743,16,22/02/2025,Delivered,Credit Card
50208,177,13/06/2024,Delivered,
50840,1074,2024-03-25,Delivered,
53118,1079,2026-07-10,DELIVERED,UPI
50432,142,17-04-2026,Delivered,Credit Card
55217,425,2025-04-21,Returned,upi
56943,671,2024-06-17,Delivered,Credit Card
53558,656,2024-04-22,Delivered,UPI
57087,691,2024-08-31,Delivered,Credit Card
54151,459,2026-01-08,Delivered,COD
55464,656,21/12/2025,Delivered,Debit Card
50090,8,18-05-2024,Delivered,UPI
52200,304,2025-06-30,Delivered,COD
53727,102,22/12/2025,Delivered,cod
55129,464,21/04/2024,Pending,Debit Card
57586,115,01/04/2024,Cancelled,UPI
53350,977,26/06/2025,Delivered,Credit Card
54239,216,16/10/2025,Pending,UPI
52245,860,2026-03-29,Delivered,UPI
56021,147,2025-01-11,Delivered,Net Banking
55059,519,2025-10-27,Cancelled,UPI
52757,11,28/10/2024,Delivered,UPI
55329,554,04-01-2025,delivered,UPI
53330,538,28-01-2026,Delivered,UPI
51035,28,04/12/2025,Pending,Credit Card
51360,361,2025-05-19,Delivered,Credit Card
56919,1055,2026-02-08,Delivered,UPI
57342,662,2026-06-16,Pending,upi
50732,803,2024-11-16,Delivered,UPI
55391,544,2025-02-23,Delivered,UPI
50879,454,28-05-2024,Delivered,UPI
52934,77,23-09-2024,Pending,UPI
55857,1069,13/12/2025,Delivered,UPI
52274,197,02-09-2024,Pending,Debit Card
50586,294,05/11/2024,Delivered,COD
53187,670,12-06-2025,Delivered,COD
54518,442,2026-04-12,Delivered,
53073,950,04/05/2025,Returned,COD
53015,360,2025-02-23,Delivered,Debit Card
51722,447,27-06-2024,Delivered,Credit Card
54858,495,07-05-2024,Delivered,UPI
