payment_id,order_id,payment_date,payment_method,payment_status
3916,53916,21-06-2024,UPI,Paid
1601,51601,2025-09-17,UPI,Failed
7238,57238,08/08/2025,upi,Paid
3019,53019,,Credit Card,Paid
4788,54788,17/03/2025,Credit Card,Paid
7415,57415,14/09/2025,UPI,PAID
5907,55907,06/04/2026,Net Banking,Paid
7035,57035,2026-06-23,UPI,Paid
5244,55244,2024-04-20,Credit Card,Paid
7378,57378,2025-05-13,NET BANKING,Paid
5350,55350,02-06-2026,upi,Paid
6260,56260,29-09-2025,Debit Card,Paid
6220,56220,2026-08-20,Debit Card,Refunded
3031,53031,06-06-2025,Net Banking,Refunded
1112,51112,2026-01-19,COD,Paid
201,50201,15/12/2025,Credit Card,Refunded
418,50418,2026-07-23,Upi,Paid
3012,53012,24/02/2025,Credit Card,Paid
5320,55320,2024-07-27,Debit Card,Paid
3028,53028,2024-05-03,UPI,Paid
3311,53311,26/04/2026,Credit Card,Paid
7133,57133,19/02/2026,Credit Card,Failed
2586,52586,2024-02-18,UPI,Paid
1089,51089,04/06/2025,UPI,Paid
7160,57160,2024-04-29,Credit Card,Pending
639,50639,07/07/2024,Net Banking,Refunded
4918,54918,2025-05-15,UPI,Paid
1553,51553,02/11/2024,UPI,Paid
3681,53681,2024-10-01,UPI,Refunded
1607,51607,2024-05-30,Net Banking,Paid
3682,53682,2024-03-28,UPI,Paid
1036,51036,2026-03-01,Credit Card,Paid
4219,54219,2024-12-08,UPI,Paid
1273,51273,28/05/2024,COD,Paid
6360,56360,20/12/2025,UPI,Paid
6314,56314,22-11-2024,CREDIT CARD,Paid
3088,53088,17/02/2026,Net Banking,Paid
2186,52186,21/06/2025,,Paid
7419,57419,2025-05-20,UPI,Paid
2873,52873,2024-02-29,Credit Card,Paid
1820,51820,23/07/2024,upi,Failed
2025,52025,2025-12-19,UPI,Paid
7216,57216,20-03-2024,Credit Card,Paid
2454,52454,05/01/2024,UPI,paid
3723,53723,2025-01-14,Credit Card,Paid
7706,57706,2025-08-09,UPI,Refunded
3802,53802,04/10/2024,COD,Paid
4555,54555,12/03/2025,UPI,Paid
840,50840,2024-03-26,Debit Card,Paid
2096,52096,30/03/2026,COD,Pending
657,50657,19/03/2025,Credit Card,PAID
5898,55898,21/01/2025,Debit Card,Paid
947,50947,25/08/2025,COD,Paid
7094,57094,16/03/2026,UPI,Paid
1126,51126,20/02/2025,Credit Card,Paid
7308,57308,27/09/2024,UPI,Paid
4553,54553,28/06/2025,Net Banking,Refunded
6190,56190,2026-05-30,upi,Paid
866,50866,21/08/2025,upi,Paid
7481,57481,12/03/2025,Debit Card,PAID
6603,56603,24/02/2024,UPI,Pending
7320,57320,2024-06-14,UPI,Pending
4696,54696,2025-01-09,Net Banking,Paid
3044,53044,2025-04-02,Debit Card,Paid
6549,56549,04/10/2025,DEBIT CARD,Refunded
768,50768,20-08-2025,UPI,Paid
408,50408,18-05-2024,Credit Card,paid
7109,57109,2025-04-11,UPI,Failed
5363,55363,28-09-2025,UPI,Paid
5664,55664,10/04/2024,Credit Card,
6345,56345,2026-03-01,UPI,Pending
2322,52322,27/01/2024,UPI,Paid
6637,56637,2025-06-28,UPI,Paid
7784,57784,2025-05-08,UPI,Paid
5867,55867,20/08/2025,Debit Card,Refunded
7258,57258,21-11-2024,UPI,Paid
6352,56352,22-04-2026,CREDIT CARD,Paid
3651,53651,30/06/2024,Net Banking,Paid
7032,57032,03-06-2025,Credit Card,PAID
1323,51323,2024-08-26,Debit Card,Failed
5682,55682,20-03-2024,Credit Card,Paid
